Scan,HV,Background Rate,WP,eff_WP,Muon CS,Gamma CS,Muon CS Err,Gamma CS Err
30CO2_1,7077.0,1.90377272983169,7064.025735406273,0.929611589012418,1.5587323725399038,1.4839798757149452,0.0843113816281477,0.0665620340815444
30CO2_2.2,7048.0,0.9663745682709386,7019.807932222117,0.9289113919517342,1.7039296608648842,1.5703081813990427,0.114241873135747,0.0768899379727643
30CO2_3.3,7036.0,0.7380673602685137,7029.807298524782,0.930725925852204,1.7365067466266866,1.598496901130806,0.1138817575714374,0.0820523076212371
30CO2_10,7033.0,0.2519353092990428,7034.076103792589,0.9530522294853904,1.8907254361799817,1.6932744939109203,0.1359955912848052,0.0961324997250934
30CO2_22,7033.0,0.1312152816144085,6997.861075613043,0.948596803957622,1.9310118880464289,1.7164986899730346,0.1497322058082801,0.1007651166156988
30CO2_OFF,7016.0,0.0055755140689741,7000.912556606316,0.9648910934688916,1.9613300266372733,1.4012511170688111,0.1555794980960474,0.0460220764465122
30CO205SF6_1,6946.0,1.995312798167245,7002.241131249088,0.9790394134689078,1.6183004970357506,1.5537859365624629,0.1081579991313079,0.0772416996444003
30CO205SF6_2.2,6943.0,1.0310261257055733,6893.445076558397,0.9207647834841192,1.842502603262756,1.6911303729519689,0.1721910865856006,0.0976082566577014
30CO205SF6_3.3,6918.0,0.7796821232390072,6919.113744577172,0.9295386552527,1.828136136849608,1.6914389884312448,0.172710562021048,0.0973729209367526
30CO205SF6_6.9,5800.0,0.0056253600230414,6906.5967121146,0.9368081578309572,1.0,1.1764705882352942,0.0,0.0304259634888437
30CO205SF6_10,6902.0,0.2627403892271611,6857.784533040797,0.9576172967665564,1.9492722784917864,1.7668921523280914,0.2249837677253359,0.1091368362569211
30CO205SF6_22,6877.0,0.1327701317946777,6866.219033301098,0.9598546946390794,1.9339112602535424,1.7525462875317104,0.2238057541539708,0.1071550820999802
30CO205SF6_OFF,6880.0,0.0079036875811441,6844.737877911959,0.9782739221633934,1.9656703988155824,1.4415379766782226,0.2415408638752367,0.083865076707905
40CO2_1,6998.0,1.9747369981810243,6963.847146647723,0.90750251173713,1.613979255068364,1.5658265985054476,0.1064376939101563,0.0784795124129018
40CO2_2.2,6955.0,0.9893490492384794,6916.447619940208,0.9228270957768137,1.7057670024066316,1.6355931012186722,0.1388301318588547,0.0871343163589097
40CO2_3.3,6964.0,0.7688759569737471,6871.983560006089,0.9480178361174886,1.8083348632274647,1.6966977513655397,0.1678985238153572,0.0965426004420428
40CO2_4.6,6891.0,0.541367476286381,6932.965172891621,0.9354395088960772,1.8246702870442204,1.6299882836210668,0.1569491132687213,0.0873853499101096
40CO2_6.9,6960.0,0.3830097466133027,6917.214672438729,0.9328901432045204,1.8692704495210024,1.7482478961480263,0.2015518433408576,0.1038421555009239
40CO2_10,6949.0,0.2588153029161466,6924.361447075152,0.947928220597634,1.895966647275548,1.765202077752949,0.2191530646996604,0.1062543579715826
40CO2_22,6957.0,0.1357376891051089,6758.10887246132,0.949793007005066,1.941055558914213,1.7752343160045605,0.2359573114367834,0.1085352126473631
40CO2_OFF,6937.0,0.0084175014397828,6907.551120814545,0.9664398738937664,1.9547520252914443,1.3941416388579904,0.2395994594107231,0.067394991010425
STDMX_1,7255.0,1.9255356271085609,7209.544608867625,0.9265764102628372,1.5805887274663422,1.5161384285949149,0.0986318026339359,0.0716184460134601
STDMX_2.2,7253.0,0.9833857237513544,7216.30060712214,0.9382029731272984,1.770494699646643,1.6305743261803518,0.1467403449516742,0.0887060082068045
STDMX_3.3,7228.0,0.7487402748813216,7202.88709488306,0.9333529405425098,1.7939069725269745,1.6386832512870615,0.1617505626936135,0.0897441817283868
STDMX_6.9,7184.0,0.3631500654282292,7156.531040896578,0.9514418433841624,1.7834545282840684,1.645668193448086,0.1486726723283897,0.0929841660585746
STDMX_10,7205.0,0.2467697142805456,7187.110485418191,0.952523511256544,1.878411910669976,1.6983943546737574,0.1765528531688944,0.0999324756251207
STDMX_22,7225.0,0.1317772840785954,7183.927740973175,0.9634900351003846,1.9782813087626927,1.757395998245179,0.2170860296131154,0.1110992056069228
STDMX_OFF,7211.0,0.006977485465664,7194.046089283188,0.9731579795162034,1.9807207207207207,1.277975766215253,0.2153441348848446,0.0315385051794518
