Scan,HV_top,Efficiency,Eff_Error
30CO205SF6_OFF,5950.0,0.0017750190661095803,0.0005403721302281528
30CO205SF6_OFF,6100.0,0.008742797841360613,0.0011738905289527524
30CO205SF6_OFF,6250.0,0.06777569633095386,0.003176186524168533
30CO205SF6_OFF,6400.0,0.2814127689966245,0.005791952956600443
30CO205SF6_OFF,6550.0,0.5913446933541388,0.0062406241939200495
30CO205SF6_OFF,6700.0,0.8413488346993963,0.0047029573986145995
30CO205SF6_OFF,6850.0,0.9429005015947691,0.002946342287381388
30CO205SF6_OFF,7000.0,0.9791592298636692,0.0018233502493248976
30CO205SF6_OFF,7150.0,0.9901959346936101,0.00127126137304043
30CO205SF6_OFF,7300.0,0.9921732714093494,0.001140694877691269
30CO205SF6_10,5950.0,0.0007357515141376359,0.00048372960388797724
30CO205SF6_10,6100.0,0.006527986248409741,0.0014008179633340978
30CO205SF6_10,6250.0,0.05932877365993319,0.004202503408380519
30CO205SF6_10,6400.0,0.25459254068207066,0.007863597221460522
30CO205SF6_10,6550.0,0.5905331825280683,0.008901009096145539
30CO205SF6_10,6700.0,0.8299560633580582,0.006787887376448006
30CO205SF6_10,6850.0,0.9319888824693772,0.004573012128604059
30CO205SF6_10,7000.0,0.9604914988734063,0.0035371691972365693
30CO205SF6_10,7150.0,0.9711713730894294,0.0030760078004093286
30CO205SF6_10,7300.0,0.9778417826755439,0.0026969099925111904
30CO205SF6_3.3,5950.0,0.00030883550298073067,0.0003071309154245816
30CO205SF6_3.3,6100.0,0.006362203513627801,0.0014059782437108692
30CO205SF6_3.3,6250.0,0.06482481453209422,0.00429324024636464
30CO205SF6_3.3,6400.0,0.27138043007894885,0.008066299236077672
30CO205SF6_3.3,6550.0,0.5916686873085545,0.008770243817658665
30CO205SF6_3.3,6700.0,0.8050865862719323,0.007032457614062312
30CO205SF6_3.3,6850.0,0.901722057694417,0.00545692406790223
30CO205SF6_3.3,7000.0,0.9454663287153439,0.004108855658233109
30CO205SF6_3.3,7150.0,0.9546514195970651,0.00382694344917514
30CO205SF6_3.3,7300.0,0.946852109920436,0.004082747609427226
30CO205SF6_2.2,6000.0,0.005275777432319863,0.0010196119259586703
30CO205SF6_2.2,6200.0,0.050803185567198476,0.0030788798388703535
30CO205SF6_2.2,6400.0,0.3923046913797676,0.006864712493926614
30CO205SF6_2.2,6600.0,0.821863681607596,0.005426930367810126
30CO205SF6_2.2,6700.0,0.8933422291257278,0.0043785164835663075
30CO205SF6_2.2,6800.0,0.9304310062240447,0.003611418435358063
30CO205SF6_2.2,6900.0,0.9405570078275771,0.0033652034798821854
30CO205SF6_2.2,7000.0,0.9464117943878273,0.0032145664110374023
30CO205SF6_2.2,7100.0,0.9566416201918548,0.0029109504328630985
30CO205SF6_2.2,7200.0,0.9407004326877171,0.0033987782582204852
30CO205SF6_1,6000.0,0.00394620083527413,0.0008799746949762949
30CO205SF6_1,6200.0,0.04997683843041253,0.0030638117239376243
30CO205SF6_1,6400.0,0.3712643558912324,0.0068367767703142596
30CO205SF6_1,6600.0,0.7845253080694315,0.005811651617146363
30CO205SF6_1,6700.0,0.8805313140348869,0.004595588936243751
30CO205SF6_1,6800.0,0.9011479113348949,0.00423277716166728
30CO205SF6_1,6900.0,0.9178622844317588,0.0038947705549813956
30CO205SF6_1,7000.0,0.9290525043504853,0.003637729427622678
30CO205SF6_1,7100.0,0.9323838972594187,0.0035884074138425055
30CO205SF6_1,7200.0,0.9408541425157603,0.003378247534471381
